Give	hath
hath	can
can	not
not	creature
creature	heaven
heaven	Creature
Creature	Over
Over	man
man	two
two	said
said	morning
morning	seasons
seasons	give
give	sea
sea	fruit
fruit	earth
earth	Make
Make	also
also	they
they	re
re	replenish
replenish	upon
upon	behold
behold	Seed
Seed	that
that	had
had	Fourth
Fourth	said
said	own
own	day
day	midst
midst	is
is	set
set	deep
deep	Fruit
Fruit	every
every	us
us	Stars
Stars	can
can	t
t	given
given	above
above	i
i	creepeth
creepeth	Dry
Dry	heaven
heaven	sixth
sixth	third
third	fruitful
fruitful	had
had	one
one	it
it	let
let	fish
fish	grass
grass	from
from	good
good	meat
meat	bring
bring	said
said	Bearing
Bearing	him
him	have
have	under
under	without
without	bearing
bearing	don
don	t
t	Firmament
Firmament	wherein
wherein	Without
Without	so
so	above
above	stars
stars	they
they	are
are	you
you	can
can	not
not	greater
greater	over
over	Moved
Moved	multiply
multiply	form
form	kind
kind	third
third	heaven
heaven	In
In	be
be	meat
meat	make
make	Fourth
Fourth	moving
moving	lesser
lesser	good
good	void
void	herb
herb	form
form	give
give	Be
Be	very
very	said
said	fill
fill	in
in	fish
fish	shall
shall	appear
appear	waters
waters	image
image	creepeth
creepeth	fill
fill	fifth
fifth	creature
creature	unto
unto	night
night	place
place	fill
fill	above
above	great
great	have
have	Hath
Hath	light
light	Brought
Brought	grass
grass	be
be	above
above	midst
midst	gathered
gathered	saying
saying	void
void	let
let	may
may	Light
Light	heaven
heaven	together
together	cattle
cattle	so
so	greater
greater	brought
brought	moving
moving	years
years	void
void	Set
Set	created
created	beast
beast	very
very	he
he	seasons
seasons	Created
Created	They
They	re
re	give
give	were
were	green
green	herb
herb	called
called	Fifth
Fifth	moving
moving	open
open	isn
isn	t
t	Days
Days	made
made	First
First	gathered
gathered	fly
fly	image
image	open
open	whales
whales	waters
waters	be
be	dominion
dominion	Have
Have	called
called	moving
moving	creature
creature	beginning
beginning	void
void	Isn
Isn	t
t	deep
deep	sea
sea	spirit
spirit	to
to	Said
Said	winged
winged	is
is	isn
isn	t
t	day
day	all
all	air
air	image
image	moveth
moveth	meat
meat	called
called	Creature
Creature	winged
winged	green
green	sea
sea	Was
Was	evening
evening	fourth
fourth	own
own	thing
thing	air
air	god
god	Spirit
Spirit	whales
whales	created
created	beast
beast	very
very	very
very	he
he	seasons
seasons	evening
evening	evening
evening	
